id,task,audio_dependency,duration,n_gt,n_emits,tp_time,tp_content,fp,fn,time_f1,joint_f1,verdict
instant_event_alert::RE8ikWl_Hp8::124,instant_event_alert,required,240.607033,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::JS-7WQLMkXE::125,instant_event_alert,helpful,225.666667,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::GOytCM4V23o::126,instant_event_alert,required,120.04,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::Qt7rNu8LDv0::127,instant_event_alert,required,492.124967,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::IoKT18WFFGc::128,instant_event_alert,required,258.04,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::4hpYqQRepp4::129,instant_event_alert,required,242.609276,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::G6kywexJUSU::130,instant_event_alert,required,83.5835,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::WEFiV9pwYoU::131,instant_event_alert,helpful,347.966667,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::9E63oRKRxUU::132,instant_event_alert,required,269.9697,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::Vu60fZgUVf4::133,instant_event_alert,required,90.9909,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::LE3twRyz4iw::134,instant_event_alert,required,211.878333,2,1,0,0,1,2,0.0,0.0,WRONG_TIME
instant_event_alert::AwoumR9RiHU::135,instant_event_alert,required,137.08,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::PSXlSPcEh6Q::136,instant_event_alert,required,34.733333,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::HdbBkWjBQWw::137,instant_event_alert,none,280.446833,2,2,1,1,1,1,0.5,0.5,GOOD
instant_event_alert::PI22nHgBKg4::138,instant_event_alert,required,37.25,2,1,1,1,0,1,0.667,0.667,GOOD
instant_event_alert::FywjLQRju7Y::139,instant_event_alert,required,325.558567,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::2jDPnGYiVXo::140,instant_event_alert,required,539.205333,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::T_LML1_IHmA::141,instant_event_alert,required,182.333333,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::4JwMlFMzh5Y::142,instant_event_alert,none,200.64,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::L1ZkHoirlmo::143,instant_event_alert,required,45.72,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::K418iVP0w6U::144,instant_event_alert,required,213.458333,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::26BT7YzpzQs::145,instant_event_alert,none,527.666667,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::1PRqYsL7d8s::146,instant_event_alert,required,317.666667,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::3HC-qvnpuds::147,instant_event_alert,required,74.949875,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::55Ijvvme2kg::148,instant_event_alert,required,354.4541,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::9AffWPWL9RM::149,instant_event_alert,required,174.575449,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::U9SraX8Z1m8::150,instant_event_alert,required,370.537204,3,4,3,3,1,0,0.857,0.857,GOOD
instant_event_alert::Rq7Kz2wXZrY::151,instant_event_alert,required,130.56,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::PZB-IvTq1u8::152,instant_event_alert,required,129.062267,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::27AN_PJGEKI::153,instant_event_alert,required,68.860458,3,2,1,1,1,2,0.4,0.4,GOOD
instant_event_alert::GEmaF4_W0RE::154,instant_event_alert,required,31.489789,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::FbDpZtgONPg::155,instant_event_alert,required,177.443933,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::QtNzGm-nICg::156,instant_event_alert,required,263.0,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::JaN79__iddI::157,instant_event_alert,helpful,70.437033,2,2,2,2,0,0,1.0,1.0,GOOD
instant_event_alert::KdqPQ4cFzZE::158,instant_event_alert,required,442.233333,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::AULo4PR_tMQ::159,instant_event_alert,required,327.24,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::MARVjDLPDYY::160,instant_event_alert,required,69.233333,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::10fOVZIj5zg::161,instant_event_alert,required,55.791667,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::3ga91VB8myI::162,instant_event_alert,required,38.671967,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::Acbcm6GJBZw::163,instant_event_alert,required,362.04,2,2,1,1,1,1,0.5,0.5,GOOD
instant_event_alert::UmQe121ktuE::164,instant_event_alert,required,97.6,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::Tu8o0UZYOos::165,instant_event_alert,required,331.898233,2,2,2,2,0,0,1.0,1.0,GOOD
instant_event_alert::X6Spq62kq8E::166,instant_event_alert,required,64.9649,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::UqCRnhHPaF0::167,instant_event_alert,required,281.24,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::HeJaCTpbnes::168,instant_event_alert,required,458.5581,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::4JsjkyuzfdI::169,instant_event_alert,required,459.966667,2,3,1,1,2,1,0.4,0.4,GOOD
instant_event_alert::Uy4viSMpQBA::170,instant_event_alert,required,308.0,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::-PzoRugR-nk::171,instant_event_alert,required,126.36,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::Ull7qP303ds::172,instant_event_alert,helpful,30.08,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::K-qCHZ873cE::173,instant_event_alert,required,250.483567,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::6Rfvlxpc7xs::174,instant_event_alert,required,214.447567,2,6,2,2,4,0,0.5,0.5,GOOD
instant_event_alert::Kkb08lbzGaQ::175,instant_event_alert,required,160.566667,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::2pcBc918a9c::176,instant_event_alert,required,80.04,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::CA1rPvS48To::177,instant_event_alert,required,35.08,1,1,1,1,0,0,1.0,1.0,GOOD
